""|ground+round|ground round
tomato-151|Italian-style+tomatoes|Italian-style tomatoes
""|cooking+spray|cooking spray
""|pizza+dough|pizza dough
mozzarella-746|part-skim+mozzarella+cheese|part-skim mozzarella cheese
banana-61|bananas|bananas
artificial-sweetener-516|Splenda+sugar+substitute|Splenda sugar substitute
""|natural+applesauce|natural applesauce
flour-64|all-purpose+flour|all-purpose flour
flour-64|whole+wheat+flour|whole wheat flour
salt-359|salt|salt
baking-soda-7|baking+soda|baking soda
soy-sauce-473|reduced+sodium+soy+sauce|reduced sodium soy sauce
rice-wine-97|mirin|mirin
sugar-139|sugar|sugar
ginger-166|fresh+ginger|fresh ginger
garlic-165|garlic+clove|garlic clove
chicken-221|boneless+skinless+chicken+thighs|boneless skinless chicken thighs
sweet-pepper-150|red+bell+peppers|red bell peppers
green-onion-363|scallions|scallions
brown-rice-515|cooked+brown+rice|cooked brown rice
""|skewer|skewer
""|unsweetened+cocoa|unsweetened cocoa
powdered-sugar-140|powdered+sugar|powdered sugar
cream-cheese-506|light+cream+cheese|light cream cheese
vanilla-350|vanilla+extract|vanilla extract
potato-106|baking+potatoes|baking potatoes
margarine-421|reduced-calorie+stick+margarine|reduced-calorie stick margarine
broccoli-206|broccoli+florets|broccoli florets
onion-148|onion|onion
broth-154|low+sodium+chicken+broth|low sodium chicken broth
ham-247|lean+ham|lean ham
pepper-337|pepper|pepper
sour-cream-147|nonfat+sour+cream|nonfat sour cream
""|cooking+spray|cooking spray
cheddar-cheese-564|reduced-fat+cheddar+cheese|reduced-fat cheddar cheese
rice-wine-97|rice+wine|rice wine
rice-vinegar-43|seasoned+rice+vinegar|seasoned rice vinegar
soy-sauce-473|reduced+sodium+soy+sauce|reduced sodium soy sauce
honey-155|honey|honey
ginger-166|fresh+ginger|fresh ginger
wasabi-351|wasabi+paste|wasabi paste
salmon-78|salmon+fillet|salmon fillet
salt-359|salt|salt
pepper-337|pepper|pepper
green-onion-363|scallion|scallion
broth-154|chicken+broth|chicken broth
broccoli-206|frozen+broccoli|frozen broccoli
tomato-151|tomatoes+and+green+chilies|tomatoes and green chilies
velveeta-751|Velveeta+reduced+fat+cheese+product|Velveeta reduced fat cheese product
worcestershire-sauce-176|Worcestershire+sauce|Worcestershire sauce
lime-260|key+lime+juice|key lime juice
chicken-221|chicken+breast|chicken breast
orange-122|oranges|oranges
lime-260|key+lime+juice|key lime juice
green-onion-363|scallions|scallions
cilantro-16|cilantro|cilantro
chile-pepper-323|green+chili|green chili
