Skillet Sweet Potatoes,"2 teaspoons olive oil
1 cup onion, thinly sliced
2 medium sweet potatoes, peeled and cut into 1/2-inchx1/2-inch thick strips (about 1 lb)
1⁄2 cup vegetable stock
salt
fresh ground pepper","Heat oil over medium heat in a nonstick skillet.Cook onions, stirring occasionally, until softened and golden (about 5 minutes).Add sweet potatoes and stock to skillet; cover tightly; simmer, stirring every 5 minutes, for about 15 minutes or until tender.Season with salt & pepper to taste."
Cheese-Stuffed Sweet Potatoes,"2 small sweet potatoes (between 5 and 6 ounces each)
2 ounces soft fresh goat cheese
1⁄4 cup fat-free cottage cheese
2 tablespoons skim milk ricotta cheese
salt and pepper, to taste
1 green onion, sliced
paprika, to taste","Scrub potatoes, prick lightly with a fork and microwave for six minutes, or until done. (Or, bake in oven at 400 degrees F for one hour or until done.) When cool enough to handle, cut the potatoes lengthwise and scoop out the insides into a small mixing bowl. Set aside potato skins.Mash the cooked potatoes with the three cheeses and salt and pepper. Distribute the potato mixture evenly among the potato shells. Top each with the sliced green onion and sprinkle paprika on top.Return potatoes to the microwave (one minute on high) or oven (10 to 15 minutes at 350 degrees F) or until hot. Wrap or store in a portable container to bring to work or the gym; microwave on high for 1 1/2 to two minutes on high before eating."
Sweet Potato Gratin,"600 g yams (3-4)
1 teaspoon salt, to taste
pepper, to taste
2 teaspoons brown sugar, to taste
1⁄4-1⁄2 teaspoon cinnamon, to taste
1⁄2 cup whipping cream, as needed","Preheat oven to 350.Peel and slice yams 1/8"" thick- easily done in a food processer.Layer yam slices (overlapping) lengthwise in a 13 x 9 casserole.Sprinkle with salt, pepper, brown sugar, and cinnamon.Repeat yam and spice layers.Pour whipping cream over everything so dish is half full.Bake 1 hour."
Mashed Sweet Potatoes,"4 tablespoons unsalted butter, cut into 4 pieces
2 tablespoons heavy cream
1⁄2 teaspoon salt
1 teaspoon sugar
2 lbs sweet potatoes, peeled, quartered lengthwise, and cut crosswise into 1/4 inch-thick (about 2 large or 3 medium-small potatoes)
salt & freshly ground black pepper","Combine butter, cream, salt, sugar, and sweet potatoes in large saucepan.Cook, covered, over low heat, stirring occasionally, until potatoes fall apart when poked with fork.This will take between 30 to 45 minutes.Take off heat and mash sweet potatoes in saucepan with potato masher.You can also put potatoes into kitchen aid mixer and mix.Stir in salt and pepper to taste.Serve immediately."
Really Really Good Candied Sweet Potatoes,"2 lbs sweet potatoes
1⁄4 cup butter
1⁄4 cup maple syrup
1⁄3 cup packed brown sugar
1⁄4 teaspoon cinnamon","Cover potatoes with water, bring to a boil.Lower heat and simmer for 25 minutes, until done.When cooled, peel and cut into chunks.Place in 2-qt baking dish.In small saucepan combine remaining ingredients, cook and stir until mixture boils.Pour over potatoes.Bake at 350°F for 40 minutes."
Sweet Potato Fries,"olive oil, to coat
6 large sweet potatoes, peeled and cut into steak fries
2 teaspoons salt
garlic powder
cinnamon","Preheat oven to 425 degrees.Put cut fries into large ziploc bag with olive oil, put in salt, garlic and cinnamon and shake to coat.Place fries onto baking sheet leaving space between fries.Put in oven for 10 minutes and then flip them over.Place back in for 10 more minutes.They should be soft on the inside and browned on the outside.Let cool for 5 minutes.You may also use regular potatoes or 1/4 packet taco seasoning to alter taste to your liking."
Wonderful Curried Sweet Potato Soup,"Soup1 tablespoon oil (I used sunflower oil)
1⁄2-3⁄4 cup chopped onion (1-2 onions)
1 garlic clove, chopped
1 tablespoon curry paste (levelled tbsp, preferably Madras, Korma or another Indian or Caribbean curry paste you like)
1 tablespoon grated fresh ginger (levelled tbsp)
4 cups peeled and cubed sweet potatoes (not yams)
1 red bell pepper, deseeded and chopped
3 1⁄2 cups chicken stock or 3 1⁄2 cups vegetable stock
salt
recommended topping4 -6 tablespoons sour cream (any fat content)
sweet paprika","SOUP:.
In a soup pot, heat oil over medium-low heat. Add curry paste and onions and cook for 4 minutes, stirring occasionally. Reduce heat if necessary. Add garlic clove and ginger and cook for another 1-2 minutes.
Add sweet potatoes and pepper. Mix. Add stock. Cook for 15 minutes or until vegetables are very soft.
Puree the ingredients in batches in a blender or puree the whole amount directly in the pot with a hand blender (if pot is high enough).
Check if you like the consistency of the soup. Add more stock or water if desired and adjust the seasonings (check if salt is needed). You can add more curry paste if desired, but most pastes need to be cooked first before adding to a dish. Add rum if using.
Serve:.
Serve in individual bowls and top each with a tablespoon of sour cream and a sprinkle of sweet paprika."
Southern Sweet Potato Bread,"1 1⁄2 cups sifted self-rising flour
1 teaspoon nutmeg
1⁄2 teaspoon cinnamon
1 cup sugar
2 eggs, lightly beaten
1⁄2 cup vegetable oil
2 tablespoons milk
1 cup mashed cooked sweet potato
1 cup chopped pecans
1⁄2 cup golden raisin","Preheat oven to 325ºF.Grease BOTTOM only of an 8½x4½x2½-inch loaf pan.Stir together flour and spices in mixing bowl.With a spoon, stir in sugar, eggs, oil and milk; blend well.Stir in sweet potatoes, pecans and raisins.Pour batter into prepared pan.Bake 1 hour and 10 minutes or until toothpick inserted in center comes out clean.Cool in pan 15 minutes.Remove from pan and cool on wire rack.For easier slicing, wrap loaf and store overnight in a cool place.Bread mellows over time and will keep for several days.NOTE: If using all-purpose flour, sift 2 tsps baking powder and 1/4 tsp salt with the flour and spices."
Honey Roasted Sweet Potatoes,"2 1⁄2 lbs sweet potatoes, peeled and cut into 1 1/2 inch cubes
6 tablespoons butter
3 tablespoons honey
1 teaspoon fresh lemon juice
1 dash salt","Preheat oven to 350 degrees.In a small micorwave safe bowl combine butter, honey and lemon juice.Microwave until butter melts, add cinnamon.Place cubed potatoes in a large bowl and pour honey mixture over potatoes, toss to coat.Place in a roasting pan, salt and bake for about 50 minutes, or until tender, stirring occasionally."
The Realtor's Baked Sweet Potato Chips,"1 sweet potato
olive oil, spray
sea salt
pepper",Preheat oven to 350.Peel the sweet potato and slice it with a vegetable peeler into thin strips.Lay them out on a parchment lined tray.  Keep them seperate and not touching in a single layer.Spray them lightly with olive oil.Sprinkle with sea salt and pepper.Bake them about 20 minutes or until browned and crispy.  Turn the tray about halfway through.Keep your eye on them and adjust the cooking time to acheive the desired crispy texture.Cool slightly and enjoy!
